,Company Name,Industry,Symbol,Series,ISIN Code
0,Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
1,Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
2,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
3,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
4,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
5,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
6,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
7,Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
8,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
9,MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
10,Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
11,Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
12,Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035
13,TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
14,Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
15,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
16,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
17,Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
18,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
19,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
20,IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
21,IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
22,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
23,Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
24,RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
25,State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
26,Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027
28,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
29,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
30,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
31,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01016
32,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
34,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
35,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
37,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
38,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
39,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
40,Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010
42,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
43,Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
44,REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
45,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
47,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
48,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
49,Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
50,Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
51,GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS,EQ,INE264A01014
